filename	title	title_abq	author	genre	subgenre	date	year	orth
1_3861-1.para	Вступление		Неизвестно	nonfiction	press		2015	cyr
2_3947-1.para	Первый исследователь фразеологии абазинского языка	Абаза бызшва афразеология йапхъахауа архъвыхыгӀв	Биляль Хасароков	nonfiction	press	10.01.15	2015	cyr
3_3141-1.para	Обрядовые куклы абхазов	Апсуаква рцӀас кӀьанджьква	Диана Ахба	nonfiction	press	12.01.15	2015	cyr
4_2664-1.para	День сотворения мира	Адуней агӀаныршара Амш	Асида Квициния	nonfiction	press	15.01.15	2015	cyr
5_3842-1.para	Исторические ценности народа	Турых магӀны зму ауагӀахъа тынха	Биляль Хасароков	nonfiction	press	16.01.15	2015	cyr
6_4579-1.para	Неделя абазинской литературы	Абаза литература амчбыжь	Георгий Чекалов	nonfiction	press	24.01.15	2015	cyr
7_5191-1.para	На благо культуры Абхазии	Апсны акультура дазынхитӀ	Биляль Хасароков	nonfiction	press	26.01.15	2015	cyr
8_1188-1.para	Абазинская литература — мировому читателю	Абаза литература — адуней апхьагӀв йыхъазла	Георгий Константинов	nonfiction	press	27.01.15	2015	cyr
9_3492-1.para	Постичь красоту движений	АгӀахӀвра алахӀвара пшдзаква	Георгий Чекалов	nonfiction	press	28.01.15	2015	cyr
10_3719-1.para	Древние сокровища Абхазии	Апсны апны апхъанчӀви заман байара	Диана Ахба	nonfiction	press	01.02.15	2015	cyr
11_5490-1.para	Артиада: возрождение лучших традиций Кавказа	Артиада: КӀавкӀаз апхъанчӀви цӀас бзиква ргӀащаквыргылхра	Биляль Хасароков	nonfiction	press	08.02.15	2015	cyr
12_3385-1.para	Сколько букв в абазинском алфавите?	Абаза алфавит ахӀарыфква зъара йнадзауайа?	Биляль Хасароков	nonfiction	press	10.02.15	2015	cyr
13_2224-1.para	Завершенный роман	Йнардзу ароман	Георгий Чекалов	nonfiction	press	12.02.15	2015	cyr
14_1401-1.para	По нотам	Нотала йгӀву	Георгий Чекалов	nonfiction	press	13.02.15	2015	cyr
15_8339-1.para	История абазин сквозь призму предания	Абазаква ртурых ашӀалахӀвара йшгӀанарбауа	Петр Чекалов	nonfiction	press	14.02.15	2015	cyr
16_2545-1.para	Об издании учебников абазинского языка и литературы	Абаза бызшвали алитературали апхьагаква ргӀацӀщтра ауыс	Неизвестно	nonfiction	press	24.02.15	2015	cyr
17_5208-1.para	Мужская воля	ХъацӀара	Георгий Чекалов	nonfiction	press	25.02.15	2015	cyr
18_3513-1.para	История народа абаза в фотографиях	Асуратквала абаза уагӀахъа ртурых	Биляль Хасароков	nonfiction	press	27.02.15	2015	cyr
19_4037-1.para	Абазинские крылатые выражения	Абаза ажважвква	Петр Чекалов	nonfiction	press	28.02.15	2015	cyr
20_9214-1.para	Рауль Хаджимба посетил Карачаево-Черкесию	Хаджимба Рауль Къарча-Черкес апны дсасытӀ	Инна Квициния	nonfiction	press	05.05.15	2015	cyr
21_6417-1.para	Сохранить в памяти подвиг народа	АуагӀа рхъацӀара агӀахчара	Георгий Чекалов	nonfiction	press	07.05.15	2015	cyr
22_6686-1.para	О фамилии рода Апсовых	АпсаргӀа рткъвымхьыз ауысла	Биляль Хасароков	nonfiction	press	08.06.15	2015	cyr
23_3590-1.para	Премьера в абазинском театре	Абаза театр апремьера	Инна Квициния	nonfiction	press	18.06.15	2015	cyr
24_1945-1.para	Мудрость лет	Асквшква руасаражвра	Муминат Ешерова	nonfiction	press	29.06.15	2015	cyr
25_4810-1.para	Пою тебе, Aбхазия!	Афестиваль «Ашва узысхӀвитӀ, Апсынра!»	Биляль Хасароков	nonfiction	press	04.07.15	2015	cyr
26_2946-1.para	По следам предков	АпхъанчӀвиква рыщтала	Муминат Ешерова	nonfiction	press	10.07.15	2015	cyr
27_4585-1.para	Возвращение на родину продолжается	Р-Псадгьыл йазгӀайхитӀ	Элана Ласурия	nonfiction	press	31.07.15	2015	cyr
28_5778-1.para	Хранить верность традициям	АцӀасква разцӀабыргра	Сима Аргун	nonfiction	press	04.08.15	2015	cyr
29_3766-1.para	Если абазинский стал родным	Абаза бызшва зцрихаз агӀвычӀвгӀвыс	Муминат Ешерова	nonfiction	press	16.08.15	2015	cyr
30_5109-1.para	Пчеловодство у абазин	Абазаква рпны ащхархӀара агыларта	Мурат Аджиев	nonfiction	press	18.08.15	2015	cyr
31_6051-1.para	«Не могу забыть»	«Йсхъаштылныс гьсылшум»	Диана Ахба	nonfiction	press	28.08.15	2015	cyr
32_7152-1.para	Эти песни будут слушать	АуагӀа арат ашваква йрыздзыргӀвуаштӀ	Георгий Чекалов	nonfiction	press	02.09.16	2016	cyr
33_7064-1.para	Ближе к истокам	Рыщайдза ъагӀаджвыквылуа йазаргванхатӀ	Инна Квициния	nonfiction	press	05.09.15	2015	cyr
34_3962-1.para	В поисках истины	АцӀабырг азыпшгӀара	Шазина Куцниа	nonfiction	press	10.09.15	2015	cyr
35_5670-1.para	По заветам Нофы	Нофа луасйат хъада	Муминат Ешерова	nonfiction	press	13.09.15	2015	cyr
36_4502-1.para	Чудо иверской горы	Ивер щхъа аджьащахъвара	Элана Ласурия	nonfiction	press	19.09.15	2015	cyr
37_4052-1.para	Творчество народов Кавказа	КӀавкӀаз ауагӀахъаква рыршӀыйара	Диана Ахба	nonfiction	press	24.09.15	2015	cyr
38_3478-1.para	У каждого из нас свой мир	ДзачӀвызлакӀгьи йара йдуней йымапӀ	Муминат Ешерова	nonfiction	press	01.10.15	2015	cyr
39_4018-1.para	«Так свою впервые начал проводить я борозду...»	«Араса салагатӀ са йапхъахауата скъыж алызгауа...»	Шазина Куцниа	nonfiction	press	07.10.15	2015	cyr
40_4280-1.para	«Апсны, обитель души моей»	«Апсны — са спсы атып»	Элана Ласурия	nonfiction	press	12.10.15	2015	cyr
